DEBUG | 09/04/2023 18:29:08 | Login route request
DEBUG | 09/04/2023 18:29:08 | Login route request
DEBUG | 09/04/2023 18:29:09 | Login route request
DEBUG | 09/04/2023 18:29:09 | Login route request
DEBUG | 09/04/2023 18:29:09 | Login route request
DEBUG | 09/04/2023 18:29:09 | Login route request
DEBUG | 09/04/2023 18:42:48 | Creating database tables
DEBUG | 09/04/2023 18:42:50 | Login route request
DEBUG | 09/04/2023 18:42:50 | Login route request
INFO | 09/04/2023 18:42:51 | home page: P
DEBUG | 09/04/2023 18:42:51 | Login route request
INFO | 09/04/2023 18:42:51 | login page: P
DEBUG | 09/04/2023 18:42:51 | Register route request
INFO | 09/04/2023 18:42:51 | register page: P
DEBUG | 09/04/2023 18:42:51 | Login route request
INFO | 09/04/2023 18:42:51 | basket page: P
DEBUG | 09/04/2023 18:42:52 | Login route request
INFO | 09/04/2023 18:42:52 | calendar page: P
DEBUG | 09/04/2023 18:42:52 | Login route request
INFO | 09/04/2023 18:42:52 | memberships page: P
DEBUG | 09/04/2023 18:42:52 | Login route request
INFO | 09/04/2023 18:42:52 | myBookings page: P
DEBUG | 09/04/2023 18:42:52 | Login route request
INFO | 09/04/2023 18:42:52 | settings page: P
DEBUG | 09/04/2023 18:42:53 | Login route request
INFO | 09/04/2023 18:42:53 | manageUsers page: P
DEBUG | 09/04/2023 18:42:53 | Login route request
INFO | 09/04/2023 18:42:53 | addActivity page: P
DEBUG | 09/04/2023 18:42:53 | Login route request
INFO | 09/04/2023 18:42:53 | addEvent page: P
DEBUG | 09/04/2023 18:42:53 | Login route request
INFO | 09/04/2023 18:42:53 | analysis page: P
DEBUG | 09/04/2023 18:42:53 | Register route request
DEBUG | 09/04/2023 18:42:54 | Register route request
INFO | 09/04/2023 18:42:54 | registering new user: P
DEBUG | 09/04/2023 18:42:54 | Register route request
DEBUG | 09/04/2023 18:42:54 | Register route request
INFO | 09/04/2023 18:42:54 | registering new user number 2: P
DEBUG | 09/04/2023 18:42:55 | Register route request
DEBUG | 09/04/2023 18:42:55 | Register route request
DEBUG | 09/04/2023 18:42:55 | Login route request
DEBUG | 09/04/2023 18:42:55 | Login route request
DEBUG | 09/04/2023 18:42:55 | Login route request
DEBUG | 09/04/2023 18:42:55 | Login route request
DEBUG | 09/04/2023 18:42:56 | Login route request
DEBUG | 09/04/2023 18:42:56 | Login route request
DEBUG | 09/04/2023 18:42:56 | Login route request
DEBUG | 09/04/2023 18:42:56 | Login route request
DEBUG | 09/04/2023 18:42:56 | Login route request
DEBUG | 09/04/2023 18:42:56 | Login route request
DEBUG | 09/04/2023 18:43:26 | Creating database tables
DEBUG | 09/04/2023 18:43:28 | Login route request
DEBUG | 09/04/2023 18:43:28 | Login route request
INFO | 09/04/2023 18:43:28 | home page: P
DEBUG | 09/04/2023 18:43:28 | Login route request
INFO | 09/04/2023 18:43:28 | login page: P
DEBUG | 09/04/2023 18:43:28 | Register route request
INFO | 09/04/2023 18:43:28 | register page: P
DEBUG | 09/04/2023 18:43:29 | Login route request
INFO | 09/04/2023 18:43:29 | basket page: P
DEBUG | 09/04/2023 18:43:29 | Login route request
INFO | 09/04/2023 18:43:29 | calendar page: P
DEBUG | 09/04/2023 18:43:29 | Login route request
INFO | 09/04/2023 18:43:29 | memberships page: P
DEBUG | 09/04/2023 18:43:29 | Login route request
INFO | 09/04/2023 18:43:29 | myBookings page: P
DEBUG | 09/04/2023 18:43:30 | Login route request
INFO | 09/04/2023 18:43:30 | settings page: P
DEBUG | 09/04/2023 18:43:30 | Login route request
INFO | 09/04/2023 18:43:30 | manageUsers page: P
DEBUG | 09/04/2023 18:43:30 | Login route request
INFO | 09/04/2023 18:43:30 | addActivity page: P
DEBUG | 09/04/2023 18:43:30 | Login route request
INFO | 09/04/2023 18:43:30 | addEvent page: P
DEBUG | 09/04/2023 18:43:30 | Login route request
INFO | 09/04/2023 18:43:30 | analysis page: P
DEBUG | 09/04/2023 18:43:31 | Register route request
DEBUG | 09/04/2023 18:43:31 | Register route request
INFO | 09/04/2023 18:43:31 | registering new user: P
DEBUG | 09/04/2023 18:43:31 | Register route request
DEBUG | 09/04/2023 18:43:31 | Register route request
INFO | 09/04/2023 18:43:32 | registering new user number 2: P
DEBUG | 09/04/2023 18:43:32 | Register route request
INFO | 09/04/2023 18:43:32 | User not registered: P
DEBUG | 09/04/2023 18:43:32 | Register route request
DEBUG | 09/04/2023 18:43:32 | Login route request
DEBUG | 09/04/2023 18:43:32 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:43:33 | Login route request
DEBUG | 09/04/2023 18:45:36 | Creating database tables
DEBUG | 09/04/2023 18:45:38 | Login route request
DEBUG | 09/04/2023 18:45:38 | Login route request
INFO | 09/04/2023 18:45:38 | home page: P
DEBUG | 09/04/2023 18:45:38 | Login route request
INFO | 09/04/2023 18:45:38 | login page: P
DEBUG | 09/04/2023 18:45:39 | Register route request
INFO | 09/04/2023 18:45:39 | register page: P
DEBUG | 09/04/2023 18:45:39 | Login route request
INFO | 09/04/2023 18:45:39 | basket page: P
DEBUG | 09/04/2023 18:45:39 | Login route request
INFO | 09/04/2023 18:45:39 | calendar page: P
DEBUG | 09/04/2023 18:45:39 | Login route request
INFO | 09/04/2023 18:45:39 | memberships page: P
DEBUG | 09/04/2023 18:45:40 | Login route request
INFO | 09/04/2023 18:45:40 | myBookings page: P
DEBUG | 09/04/2023 18:45:40 | Login route request
